,text,favourite_count,retweet_count,created_at
37,Just received my COVID-19 result by text &amp; it’s NEGATIVE. Great news but l struggled to sleep last night even though l didn’t attend those stores in Highpoint but l was close. If your over 50 stop making excuses and get it. Thanks for the best wishes. Go Bombers 🔴⚫️ #COVID19Vic,4,0,2021-05-25 23:59:40
38,RT @kron4news: COVID MILESTONE: The United States hit a major vaccination milestone Tuesday: Half of all adults are now fully vaccinated ag…,0,9,2021-05-25 23:59:39
39,RT @YahooPH: US health experts are looking into a few cases of a heart condition known as myocarditis among children who received the COVID…,0,2,2021-05-25 23:59:39
40,"RT @DrLiMengYAN1: By @GordonGChang
-We should be implementing policies designed to end the rule of the Communist Party
-This is not the las…",0,1122,2021-05-25 23:59:39
41,"RT @MassGovernor: The legislation will extend certain emergency provisions including:

🏛️ Remote meeting flexibility for communities
🍴 Spec…",0,13,2021-05-25 23:59:39
42,"RT @NikkiHaley: China and WHO cannot be trusted. The United States must call for a credible investigation into the origins of COVID-19.

We…",0,603,2021-05-25 23:59:38
43,"RT @ProfAbdille: COVID-19 &amp;why I termed it as the  “the Great Equalizer” of our times

I was a lecturer at Beijing during the 2009 H1N1 inf…",0,10,2021-05-25 23:59:38
44,RT @AM980News: Organizers are putting together the necessary ingredients for an in-person Ribfest following updated COVID-19 guidance from…,0,1,2021-05-25 23:59:38
45,"RT @AnaCabrera: It’s official - half of the adult population in the US is fully vaccinated against Covid-19, according to CDC data.",0,1056,2021-05-25 23:59:38
46,"RT @yolyabreuh: Vaccines and Related Biological Products Advisory Committee Meeting
December 10, 2020 --  FDA Briefing Document -- Pfizer-B…",0,27,2021-05-25 23:59:38
47,RT @EricMMatheny: COVID-19 does not occur in nature. It does occur in Chinese laboratories funded by grants from the National Institute of…,0,1315,2021-05-25 23:59:37
48,"RT @DeAngelisCorey: New Study: No correlation between school mask mandates and COVID-19 case rates for students and staff in Florida, New Y…",0,989,2021-05-25 23:59:37
49,RT @inforum: Fargo's best kept secret: Local firm makes key ingredient for millions of COVID-19 vaccine doses https://t.co/EE6arDz6jG,0,2,2021-05-25 23:59:37
